Epoch [0/10000], Loss: 99.025803
Epoch [100/10000], Loss: 58.158684
Epoch [200/10000], Loss: 34.616302
Epoch [300/10000], Loss: 21.846134
Epoch [400/10000], Loss: 13.945389
Epoch [500/10000], Loss: 9.023228
Epoch [600/10000], Loss: 5.698521
Epoch [700/10000], Loss: 3.508155
Epoch [800/10000], Loss: 2.140081
Epoch [900/10000], Loss: 1.253827
Epoch [1000/10000], Loss: 0.713743
Epoch [1100/10000], Loss: 0.390028
Epoch [1200/10000], Loss: 0.207290
Epoch [1300/10000], Loss: 0.108053
Epoch [1400/10000], Loss: 0.052796
Epoch [1500/10000], Loss: 0.025746
Epoch [1600/10000], Loss: 0.013297
Epoch [1700/10000], Loss: 0.005288
Epoch [1800/10000], Loss: 0.002460
Epoch [1900/10000], Loss: 0.001193
Epoch [2000/10000], Loss: 0.000619
Epoch [2100/10000], Loss: 0.000326
Epoch [2200/10000], Loss: 0.000219
Epoch [2300/10000], Loss: 0.102016
Epoch [2400/10000], Loss: 0.009817
Epoch [2500/10000], Loss: 0.002155
Epoch [2600/10000], Loss: 0.000647
Epoch [2700/10000], Loss: 0.000233
Epoch [2800/10000], Loss: 0.000101
Loss has reached 0.000100, stopping training.
