Epoch [0/10000], Loss: 196.030121
Epoch [100/10000], Loss: 138.379883
Epoch [200/10000], Loss: 96.114044
Epoch [300/10000], Loss: 69.162468
Epoch [400/10000], Loss: 50.942795
Epoch [500/10000], Loss: 37.626160
Epoch [600/10000], Loss: 27.465580
Epoch [700/10000], Loss: 19.863317
Epoch [800/10000], Loss: 14.245655
Epoch [900/10000], Loss: 10.016058
Epoch [1000/10000], Loss: 7.003430
Epoch [1100/10000], Loss: 4.815178
Epoch [1200/10000], Loss: 3.206939
Epoch [1300/10000], Loss: 2.097683
Epoch [1400/10000], Loss: 1.361238
Epoch [1500/10000], Loss: 0.871975
Epoch [1600/10000], Loss: 0.546758
Epoch [1700/10000], Loss: 0.336541
Epoch [1800/10000], Loss: 0.202258
Epoch [1900/10000], Loss: 0.120953
Epoch [2000/10000], Loss: 0.071346
Epoch [2100/10000], Loss: 0.041506
Epoch [2200/10000], Loss: 0.023679
Epoch [2300/10000], Loss: 0.013532
Epoch [2400/10000], Loss: 0.007775
Epoch [2500/10000], Loss: 0.004542
Epoch [2600/10000], Loss: 0.002739
Epoch [2700/10000], Loss: 0.001713
Epoch [2800/10000], Loss: 0.001131
Epoch [2900/10000], Loss: 0.000790
Epoch [3000/10000], Loss: 8.432507
Epoch [3100/10000], Loss: 1.914048
Epoch [3200/10000], Loss: 0.736247
Epoch [3300/10000], Loss: 0.281249
Epoch [3400/10000], Loss: 0.118204
Epoch [3500/10000], Loss: 0.057232
Epoch [3600/10000], Loss: 0.029124
Epoch [3700/10000], Loss: 0.015253
Epoch [3800/10000], Loss: 0.008224
Epoch [3900/10000], Loss: 0.004534
Epoch [4000/10000], Loss: 0.002541
Epoch [4100/10000], Loss: 0.001444
Epoch [4200/10000], Loss: 0.000832
Epoch [4300/10000], Loss: 0.000487
Epoch [4400/10000], Loss: 0.000291
Epoch [4500/10000], Loss: 0.000179
Epoch [4600/10000], Loss: 0.000114
Loss has reached 0.000100, stopping training.
